alan,oda_sayisi,bina_yasi,merkeze_uzaklik,kat,fiyat
165.9,4,5.2,23.2,1,3087.0
144.5,4,35.5,2.0,9,3516.0
58.0,2,38.2,23.4,4,1365.0
70.1,2,34.5,9.1,3,1913.0
184.3,4,32.4,3.0,11,4060.0
139.0,4,26.2,12.4,10,2933.0
46.4,2,22.0,6.8,7,2154.0
60.7,1,3.5,7.5,1,2139.0
147.8,4,16.3,8.0,5,3439.0
45.8,1,14.9,20.2,12,1473.0
69.9,2,10.4,13.7,4,2208.0
130.1,3,28.9,8.1,14,2802.0
152.2,3,19.8,15.5,11,2902.0
146.1,3,3.2,18.0,1,2841.0
79.8,2,8.8,7.2,10,2393.0
155.4,4,27.3,10.6,9,3059.0
81.8,2,3.0,3.5,14,2799.0
95.4,3,34.0,4.9,0,2588.0
160.7,3,19.8,17.2,7,2910.0
145.7,4,19.2,4.9,1,3411.0
176.6,4,23.7,13.4,6,3414.0
146.9,4,33.0,17.9,8,2648.0
133.1,4,13.9,3.1,8,3603.0
59.5,1,27.1,14.4,7,1703.0
102.0,2,22.6,6.8,10,2865.0
86.1,3,10.7,24.1,13,2097.0
82.8,2,35.1,12.3,11,2031.0
195.8,6,31.9,20.2,9,3175.0
105.9,2,26.3,14.0,8,2206.0
183.3,5,34.0,1.6,1,4138.0
142.8,4,34.7,16.0,5,2782.0
168.2,3,28.3,23.8,3,2731.0
122.9,3,33.5,15.2,13,2530.0
134.4,4,27.9,20.6,3,2534.0
121.3,3,27.2,22.2,4,2164.0
75.3,2,24.7,6.1,11,2337.0
157.0,4,30.1,5.7,2,3475.0
88.5,2,6.3,15.5,13,2114.0
48.8,1,35.2,10.6,0,1428.0
145.0,4,34.9,21.1,7,2482.0
72.5,2,1.2,22.6,4,1868.0
190.8,5,33.0,9.2,2,3612.0
192.9,5,5.2,6.3,9,3958.0
186.8,5,13.4,19.6,13,3633.0
102.4,2,29.7,7.2,6,2580.0
47.4,1,6.4,20.7,6,1542.0
188.9,5,32.7,10.9,0,3269.0
111.4,3,33.3,16.9,11,2148.0
194.8,6,20.3,2.8,8,4211.0
194.4,6,0.3,15.8,14,3771.0
177.2,5,11.5,11.6,1,3402.0
90.6,3,24.7,14.9,4,2016.0
104.7,3,39.2,4.6,12,2470.0
176.9,4,25.3,18.6,13,3204.0
94.1,2,10.4,21.6,4,2086.0
71.3,1,25.4,5.8,13,2234.0
131.3,3,21.6,2.8,7,3439.0
190.1,5,31.2,1.1,13,4120.0
152.9,5,4.3,16.2,7,2917.0
133.4,4,30.4,15.4,13,2923.0
60.1,1,21.7,13.9,6,1648.0
140.3,4,38.5,6.2,6,2631.0
198.5,4,13.7,10.1,11,3572.0
66.7,2,25.3,15.1,10,2100.0
125.3,4,37.3,12.7,5,2351.0
181.0,4,4.1,24.7,5,3444.0
159.8,5,37.5,3.8,10,3525.0
153.0,4,27.5,17.5,8,2787.0
153.9,4,2.7,10.4,5,3303.0
100.7,3,12.0,11.0,11,2218.0
90.5,4,28.3,18.1,12,1941.0
170.5,5,2.7,17.5,12,3286.0
170.6,5,23.3,24.8,1,2875.0
179.4,4,13.8,3.6,1,3865.0
186.6,4,24.8,3.1,12,4180.0
124.3,4,1.8,18.2,4,2685.0
122.7,3,34.9,14.7,14,2590.0
168.7,4,38.9,7.2,3,3187.0
145.7,4,38.8,2.4,10,3589.0
153.8,4,30.0,2.6,1,3583.0
168.3,5,5.2,22.4,14,3213.0
183.0,5,30.3,5.2,14,3957.0
97.4,2,1.0,8.4,2,2434.0
103.2,3,0.9,6.1,6,2872.0
59.6,1,12.9,9.2,7,2049.0
134.6,3,19.5,2.2,11,3693.0
50.6,2,30.8,13.2,12,1457.0
117.2,3,27.3,2.2,5,3367.0
129.1,3,17.8,20.1,10,2495.0
89.4,3,10.9,6.2,4,2685.0
136.6,4,39.9,13.7,12,2628.0
49.7,2,17.0,22.1,0,1617.0
50.8,2,18.1,16.4,7,1496.0
172.5,4,6.5,13.6,2,3357.0
100.8,2,31.8,8.4,14,2524.0
64.7,1,27.7,8.7,5,1897.0
125.9,4,8.8,16.9,2,2554.0
164.3,5,3.3,24.9,6,3271.0
78.5,2,27.2,16.7,12,1925.0
141.5,4,26.2,14.2,13,2623.0
58.2,1,10.9,18.4,6,1601.0
53.0,3,38.0,11.9,11,1526.0
127.4,3,6.0,2.0,14,3849.0
128.8,3,17.3,14.3,8,2836.0
143.8,4,37.7,24.0,4,2658.0
157.5,4,16.8,4.8,14,3652.0
196.3,5,25.5,17.4,7,3537.0
125.0,3,15.9,5.4,9,2955.0
95.1,3,11.0,13.6,9,2348.0
168.3,5,39.4,2.9,7,3728.0
87.0,3,16.4,11.5,0,2058.0
113.0,4,35.8,19.0,11,2281.0
57.2,1,9.2,9.0,4,2139.0
48.9,1,8.5,16.8,2,1663.0
194.2,5,1.2,20.0,0,3612.0
174.6,5,26.1,23.2,3,2781.0
152.9,5,14.7,6.2,7,3625.0
108.4,2,34.6,10.3,2,2219.0
71.9,3,18.9,4.2,9,2461.0
69.2,2,38.7,24.8,1,1445.0
83.8,2,7.4,23.2,10,1905.0
130.1,3,34.7,13.7,8,2616.0
155.8,3,31.1,21.1,9,2720.0
147.3,4,30.8,13.3,4,2684.0
88.4,2,33.8,15.8,13,1941.0
193.0,4,30.4,2.7,6,4219.0
159.4,4,25.0,19.0,10,2970.0
130.9,3,5.2,3.6,10,3275.0
139.8,5,1.3,20.7,1,2908.0
110.0,3,36.8,19.7,8,2014.0
83.4,1,24.7,17.9,12,1682.0
100.2,3,31.9,1.4,8,3319.0
162.5,4,19.3,7.9,3,3362.0
47.2,1,4.7,6.9,3,1954.0
63.0,2,5.0,9.3,5,2027.0
52.1,1,27.4,2.6,9,2509.0
51.3,2,17.2,23.5,9,1980.0
177.6,6,8.0,14.1,9,3534.0
154.1,5,19.7,8.0,5,3136.0
118.5,3,2.6,10.2,11,2784.0
60.2,1,23.3,11.5,0,1757.0
121.2,4,10.8,15.2,13,2427.0
118.4,3,31.9,13.1,13,2492.0
71.8,2,12.4,23.0,8,1941.0
112.2,3,18.2,12.7,1,2604.0
106.8,3,0.5,24.8,4,2520.0
140.5,4,2.9,21.4,8,2881.0
143.4,3,15.7,5.6,3,3424.0
52.0,1,19.2,23.3,10,1808.0
103.1,3,24.0,3.4,2,2912.0
142.0,3,11.7,20.5,14,2901.0
123.0,3,27.8,9.8,6,2404.0
177.8,5,34.4,22.0,5,2849.0
147.1,4,31.2,21.8,7,2576.0
70.3,3,1.6,20.2,2,1886.0
55.9,1,19.2,19.9,4,1447.0
144.6,4,4.2,8.0,9,3245.0
49.1,2,9.7,2.5,3,2433.0
135.8,3,39.5,10.4,14,2767.0
190.7,5,5.7,4.8,12,4071.0
134.2,3,20.0,17.5,3,2342.0
105.2,2,24.7,9.0,3,2423.0
144.7,3,28.1,24.4,9,2648.0
116.0,2,22.4,16.2,7,2278.0
129.6,4,0.4,20.7,5,2735.0
190.9,5,13.1,3.7,2,3990.0
104.8,3,20.7,21.6,9,2312.0
194.0,5,3.5,23.1,4,3822.0
185.3,4,14.0,12.4,5,3232.0
75.3,2,1.3,15.4,4,1971.0
55.8,2,3.1,19.2,5,1669.0
60.6,1,15.9,4.8,7,2219.0
47.8,2,5.3,12.8,6,1885.0
59.6,1,22.7,10.3,4,1852.0
150.9,4,27.6,4.1,9,3561.0
56.0,2,32.0,9.5,5,1718.0
94.4,3,8.0,2.2,13,3061.0
176.0,4,6.7,1.1,3,4223.0
48.6,2,4.2,3.8,11,2489.0
171.2,4,25.5,24.1,8,3059.0
88.7,3,28.3,14.0,12,2265.0
63.3,2,1.3,24.2,3,1832.0
153.0,4,37.4,11.1,0,2630.0
142.5,4,2.1,8.1,6,3137.0
181.0,4,21.7,12.9,6,3387.0
158.9,5,28.4,11.3,3,3127.0
169.5,4,34.8,3.1,12,3837.0
88.7,2,28.6,16.2,13,1907.0
72.5,2,32.1,5.8,2,1985.0
161.3,4,13.6,15.7,7,3084.0
170.1,4,32.6,16.4,4,3132.0
198.5,4,3.2,4.2,9,4144.0
109.0,3,35.8,2.0,6,3117.0
102.7,2,21.9,19.6,3,2205.0
165.3,5,32.7,11.8,3,3132.0
97.8,2,18.1,1.9,7,3333.0
189.3,6,25.7,24.9,13,3572.0
178.1,5,21.1,1.9,7,4130.0
111.5,3,29.3,17.5,1,1964.0
161.4,4,3.3,24.6,13,3064.0
162.0,4,2.4,6.4,1,3516.0
